GroupID,membershiptypeID,transactionprice,transactionpurchasedate,membershiptype
6640,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,6/28/22 12:21,2022/23 - Gold Membership
6640,8dbc7499-0a9d-eb11-82e4-d73c58c895cf,£19.99,1/14/22 14:56,2021/22 - Gold Membership (S/T Holders)
7126,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 13:21,2024/25 Super Blues Membership
7126,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/22/23 11:11,2023/24 Super Blues Membership
8078,c7c7e8c9-e063-44cb-95ee-7115247c69e0,£19.99,7/23/19 0:00,2019/20 GOLD MEMBERSHIP(S/T HOLDERS)
11493,467a8775-c919-ef11-8444-84857200de01,£34.99,7/16/24 15:07,2024/25 Super Blues Membership
11493,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 11:10,2023/24 Super Blues Membership
11493,ef806d39-26dc-ec11-83ae-c7f5da420240,£60.00,8/22/22 15:14,2022/23 True Blue Membership
12318,467a8775-c919-ef11-8444-84857200de01,£39.99,7/16/24 18:30,2024/25 Super Blues Membership
12318,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,8/15/23 21:06,2023/24 Super Blues Membership
13506,467a8775-c919-ef11-8444-84857200de01,£34.99,7/18/24 14:58,2024/25 Super Blues Membership
13506,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,7/30/22 13:27,2022/23 - Gold Membership
13506,8dbc7499-0a9d-eb11-82e4-d73c58c895cf,£19.99,7/21/21 15:45,2021/22 - Gold Membership (S/T Holders)
13506,c7c7e8c9-e063-44cb-95ee-7115247c69e0,£19.99,8/20/19 0:00,2019/20 GOLD MEMBERSHIP(S/T HOLDERS)
13506,93d424d8-060c-4735-8974-22ca492f174c,£19.99,7/29/16 0:00,2016/17 GOLD MEMBERSHIP(S/T HOLDERS)
13506,cc23d5e9-710f-4224-8f51-af1c35cf2336,£19.99,5/20/15 0:00,2015/16 GOLD MEMBERSHIP (S/T HOLDERS)
13506,b371e2ae-5d86-4837-a117-c4f6c8698b92,£19.99,4/28/14 0:00,2014/15 GOLD MEMBERSHIP (S/T HOLDERS)
13506,69388d28-fb60-4f3b-9ddd-60808f2f2779,£15.00,4/15/13 0:00,2013/14 GOLD MEMBERSHIP
13506,ae8322a6-7aa7-4fc9-b1c7-5274aedfe678,£15.00,4/3/12 0:00,2012/13 GOLD MEMBERSHIP
13506,67e707f0-dae7-4321-9e85-142a9aa64ecf,£15.00,5/4/11 0:00,2011/12 GOLD CLUB MEMBERSHIP
13506,0b7ab9cb-1f51-4747-9fde-d21432da623b,£15.00,3/24/10 0:00,2010/11 GOLD CLUB MEMBERSHIP
14043,467a8775-c919-ef11-8444-84857200de01,£34.99,7/16/24 12:18,2024/25 Super Blues Membership
14043,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 10:28,2023/24 Super Blues Membership
14043,bcd91c0e-35c6-ec11-8396-e571432a47fd,£19.99,7/27/22 15:39,2022/23 - Gold Membership
14043,8dbc7499-0a9d-eb11-82e4-d73c58c895cf,£19.99,2/20/22 23:00,2021/22 - Gold Membership (S/T Holders)
16685,467a8775-c919-ef11-8444-84857200de01,£39.99,8/8/24 21:24,2024/25 Super Blues Membership
16922,467a8775-c919-ef11-8444-84857200de01,£34.99,7/16/24 12:04,2024/25 Super Blues Membership
16922,e2cb4a44-b215-ee11-8444-85f69dee4c7a,£39.99,7/13/23 10:02,2023/24 Super Blues Membership
