GroupID,orderID,transactionpurchasedate,ordervalue,
131245,5510369739043,9/27/23 16:43, £	34.00 ,
131245,ITFC-000089134,1/2/22 15:05, £	50.00 ,
131245,ITFC-000005620,8/27/18 18:36, £	51.00 ,
131245,ITFC-000111644,8/24/22 5:32, £	54.00 ,
131245,ITFC-000102344,6/25/22 21:41, £	54.00 ,
131245,ITFC-000102343,6/25/22 21:38, £	54.00 ,
131245,5639270138147,12/7/23 15:26, £	55.00 ,
131245,ITFC-000066987,6/15/21 10:24, £	61.50 ,
131245,6135037133091,8/9/24 16:32, £	62.00 ,
131245,ITFC-000004318,7/19/18 7:13, £	96.00 ,
131245,6009163088163,7/6/24 10:21, £	118.00 ,
131418,5604881989923,11/11/23 13:13, £	7.00 ,
131418,5754676216099,2/27/24 21:54, £	10.00 ,
131418,ITFC-000038687,7/11/20 14:31, £	14.00 ,
131770,ITFC-000026684,12/8/19 15:20, £	3.50 ,
131770,ITFC-000125562,11/5/22 10:07, £	7.00 ,
131770,5609738862883,11/15/23 22:57, £	10.00 ,
131770,11500695323004,1/9/25 20:24, £	11.00 ,
131770,11540580532604,1/23/25 22:15, £	13.50 ,
131770,5731390521635,2/6/24 16:18, £	15.00 ,
131770,5620506427683,11/24/23 18:00, £	28.00 ,
131770,ITFC-000115040,8/28/22 21:36, £	40.00 ,
131770,11779466658172,4/30/25 13:39, £	41.00 ,
131770,ITFC-000070661,7/22/21 8:14, £	48.00 ,
131770,ITFC-000103846,7/7/22 9:42, £	49.00 ,
131770,5346034942243,7/4/23 22:22, £	55.00 ,
131770,5711649308963,1/21/24 19:03, £	69.00 ,
131770,11276380602748,11/23/24 8:06, £	108.00 ,
249459,5707412013347,1/18/24 16:18, £	28.00 ,
249459,5705156034851,1/16/24 13:52, £	55.00 ,
249476,5551758475555,10/13/23 18:20, £	28.00 ,
590017,ITFC-000143600,4/14/23 19:06, £	45.00 ,
590017,5349456511267,7/8/23 19:21, £	50.00 ,
590017,11278611906940,11/23/24 19:08, £	52.00 ,
590017,ITFC-000114392,8/26/22 16:52, £	54.00 ,
590017,ITFC-000114370,8/26/22 16:09, £	54.00 ,
590017,5805074874659,4/13/24 15:59, £	98.00 ,
590017,ITFC-000144149,4/22/23 16:26, £	100.00 ,
590017,ITFC-000144148,4/22/23 16:24, £	100.00 ,
590017,6009157255459,7/6/24 10:19, £	123.00 ,
594127,5747857195299,2/21/24 16:15, £	43.00 ,
594127,5673144942883,1/3/24 12:20, £	55.00 ,
594127,5342968545571,7/1/23 8:28, £	55.00 ,
594127,12009777725820,7/5/25 9:54, £	59.00 ,
594127,6009126584611,7/6/24 10:11, £	128.00 ,
860472,11595255415164,2/14/25 12:09, £	38.35 ,
860472,11745939128700,4/16/25 11:25, £	50.00 ,
1166568,5835307843875,5/9/24 12:18, £	24.00 ,
1166568,5619667829027,11/24/23 10:37, £	55.00 ,
1166568,5619665436963,11/24/23 10:35, £	55.00 ,
1166568,6155596923171,8/24/24 10:35, £	64.00 ,
1166568,5792390021411,4/1/24 15:55, £	77.00 ,
1166568,6159291384099,8/25/24 14:27, £	128.00 ,
1187651,5512810791203,9/29/23 13:24, £	29.00 ,
1198827,9713961501052,10/10/24 12:57, £	10.00 ,
1209767,11950002405756,6/24/25 19:55, £	36.00 ,
1209767,5342971625763,7/1/23 8:30, £	55.00 ,
1266416,5731753165091,2/6/24 22:52, £	79.00 ,
1266416,11547911487868,1/25/25 22:52, £	81.00 ,
1306374,11781517541756,5/1/25 8:49, £	20.00 ,
1306374,11339111629180,12/8/24 19:22, £	63.00 ,
1307907,11555684319612,1/29/25 15:06, £	7.20 ,
1307907,11834117849468,5/17/25 10:18, £	7.50 ,
1307907,11534882079100,1/21/25 21:49, £	8.00 ,
1307907,11507052413308,1/11/25 10:07, £	8.00 ,
1307907,11727176237436,4/8/25 10:16, £	10.00 ,
1307907,11438138589564,1/5/25 22:02, £	10.00 ,
1307907,11396031807868,12/25/24 12:07, £	12.00 ,
1307907,11842173731196,5/20/25 16:30, £	15.00 ,
1307907,11704638013820,3/29/25 18:38, £	18.00 ,
1307907,11863422861692,5/29/25 9:23, £	20.00 ,
1307907,11678216323452,3/18/25 16:52, £	20.00 ,
1307907,11436710855036,1/5/25 19:58, £	20.00 ,
1307907,11604775076220,2/18/25 13:27, £	29.00 ,
1312347,11303829111164,11/29/24 17:19, £	128.00 ,
1340324,11318318170492,12/2/24 14:14, £	53.00 ,
1340324,11329561985404,12/5/24 16:53, £	59.00 ,
